23,0,-16.176,,-15.776,,-15.676,,-15.576,,-15.176,,-11.176,,-10.776,,-10.676,,-10.576,,-10.176,,-16.176,,-15.776,,-15.676,,-15.576,,-15.176,,-11.226,,-10.826,,-10.726,,-10.626,,-10.226
0,0.0546,-42.47065,,-42.07065,,-41.97065,,-41.87065,,-41.47065,,-42.47065,,-42.07065,,-41.97065,,-41.87065,,-41.47065,,-42.47065,,-42.07065,,-41.97065,,-41.87065,,-41.47065,,-40.568,,-40.168,,-40.068,,-39.968,,-39.568
1,0.0546,-39.487,,-39.087,,-38.987,,-38.887,,-38.487,,-37.187,,-36.787,,-36.687,,-36.587,,-36.187,,-35.987,,-35.587,,-35.487,,-35.387,,-34.987,,-34.537,,-34.137,,-34.037,,-33.937,,-33.537
2,0.0546,-33.411,,-33.011,,-32.911,,-32.811,,-32.411,,-28.611,,-28.211,,-28.111,,-28.011,,-27.611,,-33.611,,-33.211,,-33.111,,-33.011,,-32.611,,-28.711,,-28.311,,-28.211,,-28.111,,-27.711
3,0.0546,-27.748,,-27.348,,-27.248,,-27.148,,-26.748,,-25.398,,-24.998,,-24.898,,-24.798,,-24.398,,-24.948,,-24.548,,-24.448,,-24.348,,-23.948,,-22.948,,-22.548,,-22.448,,-22.348,,-21.948
4,0.0546,-21.662,,-21.262,,-21.162,,-21.062,,-20.662,,-16.912,,-16.512,,-16.412,,-16.312,,-15.912,,-21.912,,-21.512,,-21.412,,-21.312,,-20.912,,-16.912,,-16.512,,-16.412,,-16.312,,-15.912
5,0.0546,-15.826,,-15.426,,-15.326,,-15.226,,-14.826,,-11.176,,-10.776,,-10.676,,-10.576,,-10.176,,-16.176,,-15.776,,-15.676,,-15.576,,-15.176,,-11.426,,-11.026,,-10.926,,-10.826,,-10.426
6,0.0546,-42.47065,,-42.07065,,-41.97065,,-41.87065,,-41.47065,,-40.368,,-39.968,,-39.868,,-39.768,,-39.368,,-42.47065,,-42.07065,,-41.97065,,-41.87065,,-41.47065,,-40.368,,-39.968,,-39.868,,-39.768,,-39.368
7,0.0546,-39.487,,-39.087,,-38.987,,-38.887,,-38.487,,-34.487,,-34.087,,-33.987,,-33.887,,-33.487,,-39.487,,-39.087,,-38.987,,-38.887,,-38.487,,-34.487,,-34.087,,-33.987,,-33.887,,-33.487
8,0.0546,-33.611,,-33.211,,-33.111,,-33.011,,-32.611,,-28.611,,-28.211,,-28.111,,-28.011,,-27.611,,-33.611,,-33.211,,-33.111,,-33.011,,-32.611,,-29.161,,-28.761,,-28.661,,-28.561,,-28.161
9,0.0546,-27.548,,-27.148,,-27.048,,-26.948,,-26.548,,-24.998,,-24.598,,-24.498,,-24.398,,-23.998,,-24.498,,-24.098,,-23.998,,-23.898,,-23.498,,-22.798,,-22.398,,-22.298,,-22.198,,-21.798
10,0.0546,-21.612,,-21.212,,-21.112,,-21.012,,-20.612,,-16.912,,-16.512,,-16.412,,-16.312,,-15.912,,-21.912,,-21.512,,-21.412,,-21.312,,-20.912,,-16.912,,-16.512,,-16.412,,-16.312,,-15.912
